Regional,Nome do bloco,Data,Concentração,etapa,rota,lon,lat,stage
Pinheiros,Besta é Tu,2017-02-18T00:00:00Z,13:00,dois,a rua Fradique Coutinho,-46.688391,-23.560446,C
Pinheiros,Besta é Tu,2017-02-18T00:00:00Z,13:00,tres,a Rua Wisard,-46.690368,-23.555726,D
Pinheiros,Besta é Tu,2017-02-18T00:00:00Z,13:00,quatro,Virua a rua Wisard,-46.690368,-23.555726,E
Vila Mariana,Bicho Maluco Beleza,2017-02-18T00:00:00Z,10:00,inicio,Monumento as Bandeiras,-46.660719,-23.579982,A
Pinheiros,Blocão,2017-03-04T00:00:00Z,15:00,um,a Rua dos Omaguas e ficar mais tempoPraca,-46.63611,-23.5475,B
Pinheiros,BloCão do Pipoca,2017-02-19T00:00:00Z,14:00,inicio,parque de cachorrospraca Praca Mateus Grow,-46.63611,-23.5475,A
Vila Mariana,Bloco  Descubra,2017-03-04T00:00:00Z,14:00,inicio,largo senador Raul Cardoso (cinemateca),-46.63611,-23.5475,A
Sé,Bloco ¡VENGA-VENGA!,2017-02-18T00:00:00Z,16:00,inicio,Viaduto Santa Efigenia,-46.636246,-23.541868,A
Sé,Bloco ¡VENGA-VENGA!,2017-02-18T00:00:00Z,16:00,um,Avenida Casper Libero,-46.635515,-23.535947,B
Sé,Bloco ¡VENGA-VENGA!,2017-02-18T00:00:00Z,16:00,dois,Praca Alfredo Issa,-46.635862,-23.539517,C
Sé,Bloco ¡VENGA-VENGA!,2017-02-18T00:00:00Z,16:00,tres,Av Casper Libero,-46.63611,-23.5475,D
Sé,Bloco ¡VENGA-VENGA!,2017-02-18T00:00:00Z,16:00,quatro,Rua Maua,-46.627553,-23.537324,E
Sé,Bloco 13 D+,2017-02-18T00:00:00Z,11:00,inicio,Avenida Rui Barbosa,-46.63611,-23.5475,A
Sé,Bloco 13 D+,2017-02-18T00:00:00Z,11:00,dois,Rua Fortaleza (em volta da Praca Dom Orione),-46.643985,-23.559714,C
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-25T00:00:00Z,15:00,inicio,Simao Alvares,-46.690498,-23.561335,A
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-27T00:00:00Z,15:00,inicio,Simao Alvares,-46.690498,-23.561335,A
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-25T00:00:00Z,15:00,um,Cardeal Arcoverde.  Andamos em linha reta,-46.63611,-23.5475,B
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-27T00:00:00Z,15:00,um,Cardeal Arcoverde.  Andamos em linha reta,-46.63611,-23.5475,B
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-25T00:00:00Z,15:00,dois,a  Arthur de Azevedo,-46.512327,-23.442032,C
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-27T00:00:00Z,15:00,dois,a  Arthur de Azevedo,-46.512327,-23.442032,C
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-25T00:00:00Z,15:00,tres,viramosAntonio bicudo.  EntramosNavarrua de Andrade,-46.63611,-23.5475,D
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-27T00:00:00Z,15:00,tres,viramosAntonio bicudo.  EntramosNavarrua de Andrade,-46.63611,-23.5475,D
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-25T00:00:00Z,15:00,quatro,voltamos parua a Simao Alvares,-46.690498,-23.561335,E
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-27T00:00:00Z,15:00,quatro,voltamos parua a Simao Alvares,-46.690498,-23.561335,E
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-25T00:00:00Z,15:00,cinco,o ponto inicial da concentracao.,-46.950542,-23.138222,F
Pinheiros,Bloco 77 - Os Originais do Punk,2017-02-27T00:00:00Z,15:00,cinco,o ponto inicial da concentracao.,-46.950542,-23.138222,F
Pinheiros,Bloco a Copo,2017-02-18T00:00:00Z,12:00,inicio,Quarteirao da Rua Mourato Coelho,-46.63611,-23.5475,A
Pinheiros,Bloco a Copo,2017-03-04T00:00:00Z,15:00,inicio,Quarteirao da Rua Mourato Coelho,-46.63611,-23.5475,A
Pinheiros,Bloco a Copo,2017-02-18T00:00:00Z,12:00,um,entrua a Avenida Teodorua Sampaio,-46.63611,-23.5475,B
Pinheiros,Bloco a Copo,2017-03-04T00:00:00Z,15:00,um,entrua a Avenida Teodorua Sampaio e a Avenida Cardeal Arcoverde.,-46.63611,-23.5475,B
Pinheiros,Bloco a Copo,2017-02-18T00:00:00Z,12:00,dois,a Avenida Cardeal Arcoverde,-46.63611,-23.5475,C
