GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US19460,19460,"Decatur, AL Metro Area",17378,3055
310M200US19500,19500,"Decatur, IL Metro Area",14801,2672
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",15440,1305
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",24098,1709
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",16700,2845
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",18661,459
310M200US20020,20020,"Dothan, AL Metro Area",15135,1204
310M200US20100,20100,"Dover, DE Metro Area",23871,4177
310M200US20220,20220,"Dubuque, IA Metro Area",7798,3534
310M200US20260,20260,"Duluth, MN-WI Metro Area",7647,1861
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",20581,1273
310M200US20700,20700,"East Stroudsburg, PA Metro Area",23009,3537
310M200US20740,20740,"Eau Claire, WI Metro Area",5025,3225
310M200US20940,20940,"El Centro, CA Metro Area",12651,4077
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",23545,4251
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",14884,4875
310M200US21300,21300,"Elmira, NY Metro Area",12405,4000
310M200US21340,21340,"El Paso, TX Metro Area",24620,3097
310M200US21500,21500,"Erie, PA Metro Area",14851,2231
310M200US21660,21660,"Eugene, OR Metro Area",11378,4887
310M200US21780,21780,"Evansville, IN-KY Metro Area",16238,2723
310M200US21820,21820,"Fairbanks, AK Metro Area",30369,6769
310M200US22020,22020,"Fargo, ND-MN Metro Area",13993,3162
310M200US22180,22180,"Fayetteville, NC Metro Area",19739,1578
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",14719,3254
310M200US22380,22380,"Flagstaff, AZ Metro Area",9654,8090
