UF,Mar-86,abr/86,mai/86,Jun-86,Jul-86,ago/86,set/86,out/86,Nov-86,dez/86,Jan-87,fev/87,Mar-87,abr/87,mai/87,Jun-87,Jul-87,ago/87,set/87,out/87,Nov-87,dez/87,Jan-88,fev/88,Mar-88,abr/88,mai/88,Jun-88,Jul-88,ago/88,set/88,out/88,Nov-88,dez/88,Jan-89,fev/89,Mar-89,abr/89,mai/89,Jun-89,Jul-89,ago/89,set/89,out/89,Nov-89,dez/89,Jan-90,fev/90,Mar-90,abr/90,mai/90,Jun-90,Jul-90,ago/90,set/90,out/90,Nov-90,dez/90,Jan-91,fev/91,Mar-91,abr/91,mai/91,Jun-91,Jul-91,ago/91,set/91,out/91,Nov-91,dez/91,Jan-92,fev/92,Mar-92,abr/92,mai/92,Jun-92,Jul-92,ago/92,set/92,out/92,Nov-92,dez/92,Jan-93,fev/93,Mar-93,abr/93,mai/93,Jun-93,Jul-93,ago/93,set/93,out/93,Nov-93,dez/93,Jan-94,fev/94,Mar-94,abr/94,mai/94,Jun-94,Jul-94,ago/94,set/94,out/94,Nov-94,dez/94,Jan-95,fev/95,Mar-95,abr/95,mai/95,Jun-95,Jul-95,ago/95,set/95,out/95,Nov-95,dez/95,Jan-96,fev/96,Mar-96,abr/96,mai/96,Jun-96,Jul-96,ago/96,set/96,out/96,Nov-96,dez/96,Jan-97,fev/97,Mar-97,abr/97,mai/97,Jun-97,Jul-97,ago/97,set/97,out/97,Nov-97,dez/97,Jan-98,fev/98,Mar-98,abr/98,mai/98,Jun-98,Jul-98,ago/98,set/98,out/98,Nov-98,dez/98,Jan-99,fev/99,Mar-99,abr/99,mai/99,Jun-99,Jul-99,ago/99,set/99,out/99,Nov-99,dez/99,Jan-00,fev/00,Mar-00,abr/00,mai/00,Jun-00,Jul-00,ago/00,set/00,out/00,Nov-00,dez/00,1-Jan,fev/01,1-Mar,abr/01,mai/01,1-Jun,1-Jul,ago/01,set/01,out/01,1-Nov,dez/01,2-Jan,fev/02,2-Mar,abr/02,mai/02,2-Jun,2-Jul,ago/02,set/02,out/02,2-Nov,dez/02,3-Jan,fev/03,3-Mar,abr/03,mai/03,3-Jun,3-Jul,ago/03,set/03,out/03,3-Nov,dez/03,4-Jan,fev/04,4-Mar,abr/04,mai/04,4-Jun,4-Jul,ago/04,set/04,out/04,4-Nov,dez/04,5-Jan,fev/05,5-Mar,abr/05,mai/05,5-Jun,5-Jul,ago/05,set/05,out/05,5-Nov,dez/05,6-Jan,fev/06,6-Mar,abr/06,mai/06,6-Jun,6-Jul,ago/06,set/06,out/06,6-Nov,dez/06,7-Jan,fev/07,7-Mar,abr/07,mai/07,7-Jun,7-Jul,ago/07,set/07,out/07,7-Nov,dez/07,8-Jan,fev/08,8-Mar,abr/08,mai/08,8-Jun,8-Jul,ago/08,set/08,out/08,8-Nov,dez/08,9-Jan,fev/09,9-Mar,abr/09,mai/09,9-Jun,9-Jul,ago/09,set/09,out/09,9-Nov,dez/09,10-Jan,fev/10,10-Mar,abr/10,mai/10,10-Jun,10-Jul,ago/10,set/10,out/10,10-Nov,dez/10,11-Jan,fev/11,11-Mar,abr/11,mai/11,11-Jun,11-Jul,ago/11,set/11,out/11,11-Nov,dez/11,12-Jan,fev/12,12-Mar,abr/12,mai/12,12-Jun,12-Jul,ago/12,set/12,out/12,12-Nov,dez/12,13-Jan,fev/13,13-Mar,abr/13,mai/13,13-Jun,13-Jul,ago/13,set/13,out/13,13-Nov,dez/13,14-Jan,fev/14,14-Mar,abr/14,mai/14,14-Jun,14-Jul,ago/14,set/14,out/14,14-Nov,dez/14,15-Jan,fev/15,15-Mar,abr/15,mai/15,15-Jun,15-Jul,ago/15,set/15,out/15,15-Nov,dez/15,16-Jan
Rondonia,"2496,5","2604,17","2604,46",2569,"2599,25","2657,75","2685,93","3090,18","3182,22","3205,56","3608,25","4468,8","6243,75","6918,88","8129,4","9053,32","9115,22","9242,06","10128,21","10818,98","12175,72","13691,41","17088,72","19486,74","23011,82","27089,28","31154,16","36285,94","41442,68","50759,16","66538,72","84295,73","109745,28","150792,84","201,01","218,51","222,91","244,5","281,71","368,19","500,99","785,24","1107,07","1579,9","2190,76","3357,48","5315,49","8698,44","15094,8","18454,37","18559,26","19525,21","20776,94","22814,1","26064,09","29924,34","33078,05","35550,59","39144,25","46162,53","53186,11","55580,96","57620,99","62371,85","71594,8","85373,76","98025,89","122186,19","163594,55","195075,88","231843,88","319711,6","385309,86","457204,47","524030,02","700554,2","815733,88","948423,13","1116636,07","1576635,07","1895516,75","2339327,75","2775845,78","3988698,31","5293043,92","6533530,69","7932007,28","11111471,06","13941615,32","18795,4","24088,26","34043,58","48861,41","64531,45","98756,28","131752,04","182688,32","259846,63","375913,42","541862,66","258,53","261,68","260,07","257,52","259,82","261,37","264,99","268,28","268,04","272,98","278,01","297,29","299,52","300,17","301,56","301,08","304,46","304,81","305,82",312,"323,89","324,58","324,48","326,55","326,82","333,78","349,69","349,96","348,17","350,99","351,31","351,58","352,5","351,95","351,79","352,01","353,52","353,35","350,2","351,31",355,"355,16","355,47","355,74","355,34","353,44","353,04","354,8","357,13","359,49","359,65","358,78","356,73","356,4","263,13","262,73","263,26","263,38","263,1","261,27","267,38","268,04","267,72","268,07","270,27","273,67","277,33","277,28","277,83","278,43","278,45","278,72","279,31","279,88","281,06","281,44","281,82","283,34","286,16","287,67","289,93","291,49","292,54","296,65","308,68","311,28","314,6","316,92","319,28","321,35","321,93","322,59","322,79","323,63","324,18","324,24","324,27","325,92","339,04","345,27","348,94","359,83","365,66","373,17","374,31","376,95","378,88","398,31","398,34","401,01","401,74","403,12","404,58","405,49","409,36","410,67","412,78","416,4","428,32","433,31","434,91","438,03","440,1","443,39","445,7","446,19","447,55","448,55","452,61","456,07","459,84","478,95","479,6","480,06","480,48","481,32","482,35","483,53","484,81","484,97","486,36","486,86","490,76","497,18","498,86","499,94","501,92","503,63","504,98","506,01","507,17","521,17","522,17","523,99","527,18","530,17","531,27",532,"533,78","539,6","544,77","549,84","554,34","554,8","558,79","562,01","578,25","586,02","594,57","601,98","613,19","623,64","630,91","633,76","634,61","635,96","638,48","641,49","652,29","654,04","655,23","657,31","659,54","660,22","661,36","662,91","667,3","738,32","742,16","748,9","757,28","760,29","764,51","767,58","774,05","779,19","783,54","784,18","785,26","786,07","787,65","791,48","819,8","822,72","823,72","824,83","827,16","827,26","829,64","830,01","874,63","880,08","880,77","882,69","888,93","890,01","891,16","894,22","899,7","905,32","906,07","910,69","915,27","918,87","950,67","957,59","906,34","963,81","908,58","904,71","910,84","916,09","916,1","920,48","919,26","947,28","949,84","953,35","959,77","965,54","971,43","972,97","973,22","973,92","974,4","974,13","977,99","977,38","976,19","982,48","1017,86","1019,23","1022,19","1020,28","1024,88","1026,67","1031,11","1032,3","1033,87"
Acre,"2608,65","2735,7","2762,19","2771,4","2931,34","3002,32","3026,47","3097,34","3165,5","3288,41","3426,85","4088,83","5264,55","6247,83","7609,61","8562,75","8872,91","9155,51","10156,68","10895,34","12321,86","13839,92","16184,73","18994,72","22038,16","24898,35","28467,27","34951,82","40325,44","50169,7","64104,89","79406,02","106196,96","139864,85","192,52","200,88","215,35","228,04","265,48","355,98","475,6","866,67","1236,42","1783,04","2479,93","3682,86","5212,98","8648,63","15546,12","17070,43","17601,79","18037,9","19962,43","23165,08","27546,49","30859,59","35820,11","40136,92","45881,73","53875,39","56851,14","60811,82","64907,5","68890,87","75477,17","88106,2","101244,68","126081,97","156525,62","195266,96","235233,61","337206,64","394754,13","487506,45","556967,85","722531,15","840642,58","988924,81","1360096,63","1619941,72","1957402,05","2259669,87","2888718,7","4093671,18","5297458,83","7015095,54","9469967,05","11329976,23","13799488,21","17983,78","26330,78","35806,91","46002,65","63548,1","93749,14","131976,05","175138,84","251535,29","384503,75","595732,08","266,01","272,98","269,79","277,31","285,32","293,86","302,3","302,13","302,87","311,91","315,3","330,44","331,04","334,14","330,76","331,22","330,48","334,79","335,01","339,46","341,09","345,95","344,95","350,69","351,16","350,07","350,35","350,59","356,12","355,04","358,33","358,67","358,19","357,26","356,29","357,91","358,29","358,88","357,86","358,44","361,85","368,68","365,1","366,8","368,83","371,08","373,67","373,16","373,68","373,38","376,6","376,8","376,34","376,73","271,58","269,39","269,26","269,08","270,17","267,38","266,76","267,05","272,1","272,34","273,24","277,55","279,27","279,31","282,2","281,25","280,2","281,01","282,08","283,75","285,17","285,9","287,17","291,54","294,85","296,85","299,48","302,44","303,15","304,4","311,88","314,78","314,84","320,3","326,01","329,68","333,38","334,7","335,2","338,2","339,42","340,65","350,33","355,04","361,63","363,67","371,57","382,56","387,89","391,91","396,07","401,42","419,98","420,64","423,11","425,15","425,9","429,28","429,75","431,03","433,24","433,82","435,88","437,59","439,96",442,"453,49","455,28","456,28","457,22","459,07","461,8","466,46","468,58","471,61","474,04","495,17","495,98","497,1","499,6","501,46","505,32","507,95","508,29","508,89","509,55","510,88","510,93","517,09","518,18","519,97","540,36","542,68","543,49","546,66","548,06","550,38","551,11","553,79","554,35","556,99","560,19","585,52","586,47","591,73","595,29","596,15","599,72","602,55","603,19","606,2","609,73","642,83","654,59","659,29","669,01","679,09","683,86","687,53","688,47","693,86","695,73","700,88","702,02","741,42","745,01","747,69","748,48","750,33",751,"753,34","754,85","760,51","761,54","765,25","767,75","771,8","779,05","810,31","812,6","813,43","815,82","820,21","822,2","825,66","829,63","834,75","835,56","837,51","841,08","873,36","874,21","876,53","880,16","881,18","881,13","881,2","887,56","887,73","888,99","891,22","891,31","892,43","934,13","934,45","940,03","945,79","948,68","949,57","954,12","953,77","961,38","906,39","990,15","933,09","932,65","937,5","943,58","945,53","950,89","954,27","958,6","962,83","964,38","964,53","960,72","1002,88","1004,24","1004,62","1012,34","1016,1","1018,3","1018,64","1016,88","1021,02","1021,03","1021,04","1059,74","1060,41","1062,05","1071,13","1074,46","1074,84","1068,72","1071,92"
Amazonas,"2406,27","2441,29","2443,18","2447,13","2492,9","2520,28","2594,45","2730,71","2770,85","2861,22","3274,57","3914,36","4706,58","5715,03","7930,23","9319,53","9506,88","9563,44","10489,91","11491,08","13326,6","14581,31","17525,93","20867,03","24934,17","28305,88","33242,29","40258,35","47248,4","58384,29","74052,82","93331,39","120928,14","158768,49","217,02","222,51","234,12","254,47","283,79","406,1","526,76","882,34","1238,99","1722,03","2495,79","3713,22","5270,37","9089,11","15598,74","18023,9","17789,82","18694,08","20720,14","26087,47","28869,08","32085,84","35013,36","40051,31","45023,82","51263,14","56340,59","57926,19","60347,66","66331,8","72679,28","101048,57","112338,94","134615,94","158481,43","204765,77","236062,49","314080,37","379611,14","451427,54","541173,41","622072,3","726156,19","1023546,46","1254186,62","1491675,02","1781090,13","2536060,93","3131916,73","3877997,2","4623356,28","6680078,17","8033580,95","10762164,45","14438803,06","19224,06","24540,39","33030,02","50203,47","67327,54","88868,45","124195,05","192827,87","260035,46","401988,59","577944,84","272,22","273,82","271,07","273,25","285,96","287,57","306,65","310,07","311,64","316,71","317,18",320,"339,3","339,92","338,3","343,83","343,84","344,89","346,09","351,13","357,52","359,26","361,42","365,98","373,36","381,75","378,81","382,22","380,26","386,15","391,44","391,58","391,68","392,26","390,97","392,09","401,72","400,72","398,5","397,53","397,4","401,46","399,49","399,57","400,04","400,95","401,35","399,17","406,79","406,93","407,96","407,56","405,51","404,43","313,59","315,29","315,79","315,98","316,43","313,86","313,3","316,83","317,29","317,95","319,33","320,87","316,09","318,01","318,46","319,14","318,64","318,58","320,03","331,6","332,55","333,55","334,03","335,67","337,03","337,3","339,65","339,96","343,65","345,29","350,59","364,18","364,43","367,17","367,84","372,11","375,71","376,16","377,7","379,73","380,03","380,18","380,34","389,97","398,02","404,31","408,4","416,4","424,62","427,53","429,48","432,72","433,88","434,05","453,59","454,55","455,94","456,06","457,9","461,47","461,78","470,38","471,75","476,22","477,72","481,65","483,95","485,15","487,83","494,28","497,81","501,14","516,84","520,39","521,79","523,99","526,38","531,62","546,71","547,76","549,81","551,51","556,24","557,95","559,42","559,79","561,22","561,59","563,14","565,98","579,66","581,44","583,11","585,09","585,66","587,06","588,86","592,25","592,7","593,62","594,69","597,72","610,41","610,91","615,42","617,44","623,08","626,36",629,"629,56","630,64","632,18","634,04","639,12","672,6","682,93","694,31","704,11","705,5","707,27","711,02","714,22","720,51","723,27","723,9","724,33","747,41","750,89","752,42","754,1","754,63","755,66","760,81","761,41","764,45","767,88","769,71","772,22","774,76","793,44","796,95","800,92","802,37","804,81","805,59","809,33","809,52","811,66",814,"816,33","844,82","844,95","845,78","846,33","847,51","847,6","848,29","848,83","851,4","851,96","855,84","859,55","859,82","883,44","881,73","884,5","883,37","884,96","886,14","888,32","884,11","886,65","833,56","882,31","830,19",859,"861,51","866,92","867,62","871,99","875,63","879,92","881,48","883,35","884,89",886,"886,54","910,42","907,71","908,37","909,94","915,87","919,7","919,43","926,1","931,17","935,94","938,85","944,09","974,44","980,12","989,12","995,05","995,46","993,49"
Roraima,"3423,3","3421,38","3440,04","3466,76","3522,04","3528,34","3531,83","3922,21","4031,98","4091,48",4875,"6075,86","7649,94","8894,83","10686,41","11553,72","12355,07","12802,85","14315,43","15212,73","17435,94","19794,44","23279,92","28098,89","34966,29","40325,99","44809,58","53042,81","61935,92","74727,76","90649,04","110032,83","140684,55","182650,97","252,09","268,03","290,82","321,77","389,35","529,14","708,93","1032,93","1553,08","1990,48","2788,18","4406,3","8049,73","12251,32","21334,21","26606,72","27216,77","31039,34","33723,23","41370,63","45730,67","52306,18","62673,52","68177,08","82781,03","103303,02","108985,23","111100,57","125987,86","129761,6","144696,86","164031,29","189936,14","214032,1","255289,67","309697,63","372368,24","443404,31","487702,5","555494,08","716076,95","830520,4","996281,03","1210455,03","1516931,49","1840150,81","2345054,04","2954579,76","3712792,52","4632870,86","5966775,22","7341549,88","11201581,08","13905927,31","18059806,56","24196,15","31852,36","42134,88","59291,68","78936,95","119017,42","166983,8","231972,92","356017,7","536789,14","769083,51","357,26","362,17","362,69","403,21","411,14","415,77","402,14","404,03","401,84","409,99","417,71","429,6","431,08","428,29","433,18","481,34","487,28","487,19","488,25","486,88","487,7","486,73","487,07","490,43","480,07","480,79","476,6","477,43","479,35","482,44","485,75","485,62","484,87","483,74","480,19","484,53","483,71","485,63","487,35","486,63","486,82","483,16","476,35","478,92","480,14","480,88","482,53","482,6","481,73","483,15","481,81","479,32","478,13","477,99","333,3","333,36","334,58","335,69","334,62","333,13","333,39","332,34","334,17","343,78","356,51","366,91","370,79","375,29","377,28","376,39","377,81","381,35","382,46","383,36","400,51","400,45","403,86","403,54",406,"404,95","408,97","412,7","416,73","419,12","422,15","425,04","425,95","430,06","443,53","445,45","447,36","447,48","450,46","453,97","456,58","457,46","457,69","458,18","461,01","479,17","483,04","494,32","502,5","503,89","506,39","508,67","517,29","520,41","521,52","521,68","539,45","539,77","543,51","545,12","547,48","548,63","553,61","554,53","555,72","558,76","564,06","564,9","567,13","584,21","592,45","598,06","602,66","608,31","615,19","619,61","629,24","640,29","640,96","644,43","646,25","648,62","654,44","656,22","657,47","659,09","660,98","661,84","662,85","664,67","666,05","666,71","669,04","670,15","672,65","684,9","688,55","688,94","689,22","690,08","690,48","690,94","691,7","692,86","693,71","694,9","696,36","700,34","701,53","703,23","717,5","721,82","725,27","728,09","732,4","739,22","747,07","749,65","773,92","774,08","775,68","777,55","781,07","782,9","785,25","785,88","787,4","788,3","789,65","810,55","810,97","813,15","814,85","815,37","816,08","816,72","817,32","818,65","820,02","820,34","839,22","839,55","843,59","844,39","845,15","846,6","846,7","847,86","847,85","847,9","849,87","851,93","852,54","879,12","882,88","882,95","884,31","890,26","891,75","894,65","897,24","904,11","907,23","910,76","910,87","910,32","941,25","940,69","941,58","943,51","945,88","945,95","892,68","950,79","893,95","894,15","897,75","926,89","927,66","930,11","936,38","941,68","941,57","941,75","948,89","952,56","953,76","958,04","959,75","999,47","996,06","998,35","1001,54","1001,39","999,12","995,45","995,28","1000,05","1001,77","1005,42","1010,58","1029,05","1028,8","1025,8","1028,1"
Para,"2244,86","2263,5","2272,5","2279,19","2273,54","2296,53","2310,89","2448,04","2684,43","2912,93","3336,92","4078,11","5178,85","5942,35","7479,52","8226,25","8731,34","9076,09","9880,93","10697,54","12895,35","14540,79","17187,03","19929,6","23169,57","26593,64","30522,72","37672,76","45764,9","56458,67","69749,56","86085,97","118052,88","155949,36","210,72","220,47","230,13","256,65","291,13","399,25","532,09","825,34","1156,18","1630,53","2409,77","3532,33","5250,02","8766,1","15347,51","17818,17","17829,69","17939,55","20028,51","22722,29","25062,82","29691,07","34851,72","40402,96","45134,87","54869,3","57150,85","64581,52","68727,24","73412,2","84138,38","95176,85","109525,76","134398,38","161217,49","221149,12","304022,11","366067,38","433708,78","572169,62","649642,03","740273,73",872237,"1166116,97","1424113,32","1653874,27","2358450,79","2713957,19","3691105,31","4298562,47","6494454,04","7515710,06","9594865,52","11371377,22","17123977,87","21402,39","27636,34","36003,37","53057,83","71222,41","96321,94","136669,7","205010,2","309797,88","432904,29","629890,1","297,65","295,59","293,79","295,58","293,75","308,91","317,28","316,84","321,02","324,4","336,75","333,95","337,97","337,81","345,87","346,54","345,3","351,67","358,92","360,63","364,51","364,55","363,78","362,88","361,13","364,31","362,5","363,37","364,54","368,04","375,77","378,43","378,78","379,51","377,21","377,93","379,26","380,92","377,78","376,65","375,74","377,69","378,12","379,55","379,29","381,63","381,1","380,67",380,"380,87","380,04","382,98","382,97","383,2","279,08","280,01","283,09","283,33","284,58","283,33","284,5","283,21","282,63","285,25","288,24","291,71","299,69","303,39","306,98","307,13","308,24","310,43","311,86","312,16","314,81","314,57","315,6","316,3","323,24","324,18","327,29","328,35","329,3","329,73","331,6","332,27","333,89","336,46","337,79","345,85","349,41","352,17","352,3","352,75","353,85","355,36","356,23","356,87","367,7","371,26","377,36","386,81","391,16","397,13","404,68","405,83","409,23","409,6","410,86","411,7","412,43","424,82","431,53","433,07","437,28","438,27","441,64","443,98","446,33","450,03","453,09","454,69","456,1","460,24","462,43","469,53","478,52","479,38","481,94","483,7","487,18","488,29","489,19","491,03","491,63","502,59","503,87","506,81","509,93","514,86","515,96","516,57","521,62","522,83","524,03","526,46","537,07","539,61","540,96","541,24","543,6","546,35","546,86","549,59","550,65","551,65","553,55","554,66","571,57","572,77","574,47","579,24","584,04","589,23","590,08","591,77","592,94","600,25","605,73","613,06","618,73","644,91","653,22","655,61","656,75","664,1","665,67","666,09","666,45","667,62","669,03","672,61","674,18","694,83",697,"698,31","699,84","706,19","708,92","710,89","712,64","716,77","718,94","720,27","748,59","752,54","753,89","755,54","756,84","759,42","760,02","761,7","762,93","763,38","764,52","766,27","767,6","799,21","799,5","799,32","801,59","804,75","805,56","805,79","806,25","808,4","809,78","813,81","813,08","846,91","846,14","849,22","852,32","853,2","854,63","852,96","802,56","850,74","799,17","800,2","832,54","839,83","842,57","846,4","850,73","859,45","864,12","862,76","863,53","864,27","865,19","867,8","869,23","894,82","893,59","893,93","899,76","902,64","903,54","901,15","900,52","905,09","913,29","916,92","922,52","967,43","969,3","973,02","980,78"
Amapa,"2365,92","2420,82","2442,69","2487,29","2492,8","2527,12","2509,72","2624,25","2782,01","2917,38","3320,08","3839,61","4650,62","5379,53","6793,63","7524,61","8028,6","8272,8","9285,15","9883,21","11095,45","12217,56","14039,95","16652,13","20677,35","24418,66","29601,36","36108,01","43323,83","52339,73","67245,18","85331,62","109449,64","148415,07","209,1","223,6","230,69","253,84","315,11","402,5","530,91",833,"1188,61","1509,63","2074,87","3248,08","5254,54","8748,4","14409,37","17365,79","18005,6",20169,"21907,63","23714,87","24978,36","29968,23","33328,86","37124,74","41926,56","50752,12","57271,05","63383,03","67651,46","70974,82","77834,23","88773,32","101387,53","131983,6","162524,67","204926,13","247624,79","343327,15","407432,57","490464,3","651266,49","719412,05","864246,54","990068,2","1323236,15","1591905,65","1927000,65","2398931,4","2967515,97","4095088,93","4965195,38","6106125,79","9014897,54","10776571,38","13267202,34","19003,27","26551,49","34026,97","45784,68","62649,9","92831,39","130310,8","188091,79","259451,86","390734,72","576781,82","276,68","278,76","274,47","273,23","271,23","278,02","278,5","282,5","279,62","286,07","305,76","308,01","312,43","314,72","311,52","312,96","315,52","319,57","320,92","325,55","325,19","325,12","334,05","333,5","333,84","334,71","339,98","342,21","339,75","343,41","342,53","344,98","342,88","342,3","344,96","343,96",345,"348,34","347,12","346,3","343,22","342,33","342,81","346,19","347,03","346,59","346,4","351,58","350,98","349,55","348,8","346,05","344,3","348,54","271,59","274,94","275,88","276,3","282,17","281,21","283,17","284,52","288,27","291,35","297,47","301,75","308,44","309,63","312,9","313,36","322,69","324,58","325,45","328,77","329,66","330,36","330,97","329,76","330,65","329,1","330,81","331,72","335,1","340,93","343,52","348,04","348,17","348,96","349,56","350,39","352,23","353,57","354,1","354,71","354,92","356,19","359,59","366,14","367,98","368,53","373,14","382,7","388,16","391,38","393,56","397,79","398,74","407,04","407,53","409,58","409,88","412,22","414,79","422,46","424,16","425,35","427,58","429,14","429,94","433,14","435,53","439,47","441,28","443,52","447,42","451,81","466,14","484,47","490,09","491,24","496,94","498,26","498,83","500,31","500,41","501,23","502,65","512,96","518,35","519,51","520,47","521,47","524,45","526,08","527,65","529,24","530,75","531,74","533,17","561,69","565,87","566,37","568,15","568,66","569,34",571,"572,51","574,91","577,82","580,43","583,38","586,75","601,54","605,66","606,22","607,55","608,3","611,08","613,71","617,56","625,42","629,03","634,43","660,85","662,4","666,78",669,"669,1","669,98","670,41","671,34","672,86","674,29","674,72","676,28","679,11","701,5","703,3","707,02","707,9","709,14","710,76","712,67",713,"714,15","716,08","717,73","721,14","721,82","723,61","725,73","727,68","732,3","732,89","733,35","733,9","737,85","742,59","743,32","751,05","789,68","793,52","793,55","794,31","794,71","794,95","796,45","809,92","814,09","818,39","820,72","821,88","851,79","853,13","850,91","852,24","805,24","853,12","801,99","805,94","807,85","815,65","825,96","830,83","859,42","860,78","884,67","884,85","888,38","889,67","894,2","895,09","895,4","893,2","899,96","892,94","933,32","934,96","934,4","935,32","933,59","936,15","937,07","937,59","941,07","948,6","952,82","988,34","992,52"
Tocantins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"261,45","260,71","254,83","258,04","269,47","273,84","275,77","276,52","275,56","277,82","278,06","315,05","316,75","318,64","318,9","318,66","319,32","322,17","322,95","328,75","327,65","328,93","345,52","348,01","349,09","347,2","352,31","358,3","357,05","366,16","366,1","367,43","367,66","366,63","365,99","375,13","375,9","373,93","370,61","372,39","371,04","372,21","370,36","370,88","371,11","372,24","373,27","377,01","377,73","378,28","378,86","379,36","379,26","379,99","291,65","291,58","289,76","289,54","290,57","291,69","292,36","297,2","298,47","301,35","305,48","310,84","310,42","310,5","310,74","309,46","310,28","312,01","313,57","321,44","322,63","322,95","323,48","325,49","326,69","326,81","328,55","330,45","330,26","332,71","336,38","346,07","346,58","348,58","351,86","356,05","359,62","362,42","362,58","366,15","367,95","370,88","373,32","375,84","392,35","393,84","397,86","408,4","415,31","419,58","424,58","425,99","431,57","435,48","457,02","460,63","461,45","461,58","470,08","473,94","476,84","477,45","479,14","480,45","482,1","484,58","487,6","491,08","495,73","505,33","511,13","514,23","517,58","520,99","524,17","525,31","527,58","530,11","530,89","549,63","550,02","551,33","551,79","554,05","554,66","555,84","556,88","557,65","558,27","560,03","561,32",563,"565,31","567,44","568,5","571,03","580,62","582,53","583,9","585,08","586,97","589,3","590,71","594,19","597,62","600,12","608,05","621,38","622,09","622,52","624,46","624,91","630,44","635,35","643,85","676,01","683,84","692,15","697,7","700,58","701,78","702,26","703,37","704,67","705,66","705,93","707,81","710,59","712,13","713,63","728,94","732,06","738,66","740,54","742,06","747,28","749,48","751,85","758,02","760,33","766,33","770,03","771,9","774,01","797,23","798,89","799,55","801,15","801,32","804,54","804,84","805,67","806,26","807,72","807,83","808,85","808,86","818,38","848,25","850,08","851,06","852,99","851,71","870,39","875,86","874,87","874,14","877,42","878,9","883,58","886,13","889,63","863,93",938,"879,56","878,93","881,56","892,25","892,03","895,32","908,7","910,2","912,62","912,64","916,57","946,19",946,"942,57","948,54","956,89","958,86","953,45","952,79","959,97","960,73","971,23","969,58","970,09","993,28","992,38","995,18","995,28","1002,89","1009,13","1032,91"
Maranhao,"2220,82","2235,28","2263,52","2271,25","2303,13","2298,23","2316,87","2339,14","2575,1","2736,42","3486,32","4137,08","4835,4","5800,04","6882,91","7077,35","7264,83","7894,31","8560,58","9249,55","10727,37","12389,13","14897,69","17984,02","21752,53","24631,38","28486,5","34458,42","41504,48","51025,91","64200,45","77814,72","105821,57","136435,61","188,47","200,85","208,53","223,15","259,89","355,96","482,57","775,88","1081,47","1473,2","2287,94","3321,08","4625,04","8290,66","14072,81","16074,61","16043,86","16609,65","18253,31","20285,51","22407,91","23669,37","29865,16","32265,56","36351,89","43539,03","46090,43","48287,94","54776,95","58384,19","63238,28","77601,17","91775,77","117517,36","145135,47","190484,96","234642,03","303184,81","374269,8","458993,43","515894,14","655212,33","735653,17","916025,53","1164196,05","1405761,96","1729456,26","2243910,57","2772042,61","3663332,01","4452731,08","5917568,86","7402235,45","9618799,43","13015018,74","16613,27","23224,97","29909,82","41924,9","58076,42","82405,46","116387,31","155278,59","250516,19","363353,2","542749,17","263,27","261,76","258,39","259,77","262,39","275,07","283,25","287,68","288,44","291,17","297,91","314,55","317,09","322,04","321,36","319,57","317,13","319,56","339,3","336,63","335,08","336,4","335,37","336,6","345,17","345,07","343,16","342,65","340,86","341,21","343,27","345,68","345,2","349,1","351,47","347,64","347,46","347,45","347,3","344,42","347,79","348,26","354,14","348,57","348,85","347,59","347,6","347,71","350,79","348,68","345,86","343,71","347,28","347,66","259,56","259,61","260,12","262,59","261,2","257,59","259,68","258,56","259,95","261,22","265,05","269,57","269,65","271,41","276,29","275,4","278,17","279,55","280,58","284,42","284,51","286,62","286,29",287,"293,84","295,36","297,14","300,32","302,7","306,07","311,76","312,44","315,32","315,66","318,73","321,21","325,38","328,66","329,67","333,75","337,09","339,36","341,41","350,45","351,66","355,1","357,26","366,19","381,71","389,09","392,98","398,71","399,29","402,36","404,43","414,36","417,65","421,97","423,65","424,87","433,61","435,22","436,45","436,95","437,74","440,73","442,15","446,97","451,06","453,43","456,83","462,34","477,88","482,52","482,62","484,05","485,4","488,5","491,44","494,63","496,28","497,16","499,64","500,67","516,97","518,08","519,22","519,93","523,42","525,68","527,45","528,6","530,59","533,31","535,19","537,46","550,3","551,78","553,24","553,89","554,84","555,16","558,13","559,37","559,43","560,64","571,11","589,16","591,71","593,25","595,75","596,77","597,49","599,32","604,18","612,14","622,38","632,23","638,78","643,49","663,29","664,08","665,98","666,8","670,39","672,12","677,91","679,14","681,85","685,59","689,1","693,51","700,09","722,81","728,24","730,49","730,76","732,35","734,17","735,57","737,51","744,47","749,2","750,36","752,94","788,99","789,02","793,34","795,6","807,61","811,62","812,26","813,14","816,69","818,77","820,36","820,67","821,13","823,53","831,38","831,66","831,72","832,95","834,42","857,39","858,3",861,"872,01","876,16","876,6","878,47","877,94","826,66","872,49","823,91","820,47","830,49","836,89","855,89","860,32","861,59","864,63","869,41","869,69","863,9","863,82","863,66","861,77","866,37","868,07","863,77","869,62","869,41","868,7","889,72","891,91","891,64","895,77","897,3","898,14","903,57","907,99","912,72","912,49","915,68"
