GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",30755,1985
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",30044,906
310M200US19380,19380,"Dayton, OH Metro Area",29820,671
310M200US19460,19460,"Decatur, AL Metro Area",25735,1716
310M200US19500,19500,"Decatur, IL Metro Area",32518,2320
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",26864,1133
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",39687,566
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",34855,1085
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",33671,384
310M200US20020,20020,"Dothan, AL Metro Area",26992,1405
310M200US20100,20100,"Dover, DE Metro Area",28485,1590
310M200US20220,20220,"Dubuque, IA Metro Area",29974,1259
310M200US20260,20260,"Duluth, MN-WI Metro Area",29075,968
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",39128,1559
310M200US20700,20700,"East Stroudsburg, PA Metro Area",25889,1482
310M200US20740,20740,"Eau Claire, WI Metro Area",28210,1438
310M200US20940,20940,"El Centro, CA Metro Area",16629,1239
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",25191,1342
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",24129,1456
310M200US21300,21300,"Elmira, NY Metro Area",28099,1951
310M200US21340,21340,"El Paso, TX Metro Area",19402,654
310M200US21500,21500,"Erie, PA Metro Area",28253,1143
310M200US21660,21660,"Eugene, OR Metro Area",27336,959
310M200US21780,21780,"Evansville, IN-KY Metro Area",28323,1642
310M200US21820,21820,"Fairbanks, AK Metro Area",37644,2087
310M200US22020,22020,"Fargo, ND-MN Metro Area",32903,1635
310M200US22140,22140,"Farmington, NM Metro Area",29318,2632
310M200US22180,22180,"Fayetteville, NC Metro Area",25659,954
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",29116,1024
310M200US22380,22380,"Flagstaff, AZ Metro Area",32107,3151
310M200US22420,22420,"Flint, MI Metro Area",25806,848
310M200US22500,22500,"Florence, SC Metro Area",28190,2218
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",26010,1561
310M200US22540,22540,"Fond du Lac, WI Metro Area",29420,1527
310M200US22660,22660,"Fort Collins, CO Metro Area",33839,1330
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",23243,1153
310M200US23060,23060,"Fort Wayne, IN Metro Area",29661,1335
310M200US23420,23420,"Fresno, CA Metro Area",23682,772
310M200US23540,23540,"Gainesville, FL Metro Area",29453,1458
310M200US23580,23580,"Gainesville, GA Metro Area",27112,2205
310M200US23900,23900,"Gettysburg, PA Metro Area",28932,1470
310M200US24020,24020,"Glens Falls, NY Metro Area",29295,1829
310M200US24140,24140,"Goldsboro, NC Metro Area",25745,2066
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",33315,3492
310M200US24260,24260,"Grand Island, NE Metro Area",25383,1272
310M200US24300,24300,"Grand Junction, CO Metro Area",27498,1932
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",30087,865
310M200US24420,24420,"Grants Pass, OR Metro Area",22416,1549
310M200US24500,24500,"Great Falls, MT Metro Area",30705,3040
310M200US24540,24540,"Greeley, CO Metro Area",29207,849
310M200US24580,24580,"Green Bay, WI Metro Area",30160,1019
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",30639,1244
310M200US24780,24780,"Greenville, NC Metro Area",29975,2575
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",27108,660
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",25590,1157
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",28579,1075
310M200US25220,25220,"Hammond, LA Metro Area",29874,4372
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",20204,1268
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",32875,773
310M200US25500,25500,"Harrisonburg, VA Metro Area",24285,1984
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",41870,825
310M200US25620,25620,"Hattiesburg, MS Metro Area",25151,2033
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",24351,1055
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",37642,3315
310M200US25980,25980,"Hinesville, GA Metro Area",19414,1658
310M200US26140,26140,"Homosassa Springs, FL Metro Area",24753,2268
310M200US26300,26300,"Hot Springs, AR Metro Area",24870,3759
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",27191,1633
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",35516,508
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",23674,958
310M200US26620,26620,"Huntsville, AL Metro Area",34429,1506
310M200US26820,26820,"Idaho Falls, ID Metro Area",27993,3245
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",32271,540
310M200US26980,26980,"Iowa City, IA Metro Area",32471,2720
310M200US27060,27060,"Ithaca, NY Metro Area",32425,2404
310M200US27100,27100,"Jackson, MI Metro Area",27913,1679
310M200US27140,27140,"Jackson, MS Metro Area",32239,1297
310M200US27180,27180,"Jackson, TN Metro Area",26541,1656
310M200US27260,27260,"Jacksonville, FL Metro Area",33625,1174
310M200US27340,27340,"Jacksonville, NC Metro Area",23057,1287
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",28339,1266
310M200US27620,27620,"Jefferson City, MO Metro Area",27114,1521
310M200US27740,27740,"Johnson City, TN Metro Area",24367,1533
310M200US27780,27780,"Johnstown, PA Metro Area",24782,1255
310M200US27860,27860,"Jonesboro, AR Metro Area",24111,1582
310M200US27900,27900,"Joplin, MO Metro Area",24015,1335
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",38862,3305
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",30643,1414
310M200US28100,28100,"Kankakee, IL Metro Area",27778,1442
310M200US28140,28140,"Kansas City, MO-KS Metro Area",35037,726
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",29100,1263
310M200US28660,28660,"Killeen-Temple, TX Metro Area",26405,1579
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",24050,981
310M200US28740,28740,"Kingston, NY Metro Area",32424,1661
310M200US28940,28940,"Knoxville, TN Metro Area",28121,746
310M200US29020,29020,"Kokomo, IN Metro Area",26614,1796
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",30273,1847
310M200US29180,29180,"Lafayette, LA Metro Area",31879,1428
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",26818,1086
310M200US29340,29340,"Lake Charles, LA Metro Area",30155,2075
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",23463,1395
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",23286,858
310M200US29540,29540,"Lancaster, PA Metro Area",29867,829
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",29630,831
310M200US29700,29700,"Laredo, TX Metro Area",16578,1256
310M200US29740,29740,"Las Cruces, NM Metro Area",19838,999
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",30061,648
310M200US29940,29940,"Lawrence, KS Metro Area",31718,2794
310M200US30020,30020,"Lawton, OK Metro Area",26355,1692
310M200US30140,30140,"Lebanon, PA Metro Area",27888,1436
310M200US30300,30300,"Lewiston, ID-WA Metro Area",28638,2121
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",26632,1664
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",32719,1121
310M200US30620,30620,"Lima, OH Metro Area",26800,2657
310M200US30700,30700,"Lincoln, NE Metro Area",30565,1127
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",30948,1069
310M200US30860,30860,"Logan, UT-ID Metro Area",21969,1078
310M200US30980,30980,"Longview, TX Metro Area",25724,1545
310M200US31020,31020,"Longview, WA Metro Area",25957,1739
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",36404,369
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",30537,533
310M200US31180,31180,"Lubbock, TX Metro Area",25567,1169
310M200US31340,31340,"Lynchburg, VA Metro Area",27701,1573
310M200US31420,31420,"Macon, GA Metro Area",28982,1948
310M200US31460,31460,"Madera, CA Metro Area",21788,1774
310M200US31540,31540,"Madison, WI Metro Area",37715,1013
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",37855,1161
310M200US31740,31740,"Manhattan, KS Metro Area",25413,1826
