Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Argentina,ARG,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,8892.28286619788,9196.14833847496,8820.41915418203,9447.53422873019,9884.30343447144,10272.919460278,10512.1899306153,9184.90380033188,..,..
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,98.0340194702148,98.089973449707,..
Argentina,ARG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.589508587294459,0.584386439569363,0.565097725240647,0.564383933611054,0.556349871399741,0.548688204023885,0.548062173542474,0.540673293569324,..,..
Argentina,ARG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-12.5586866972765,-6.1649281417031,-7.2718170542641,-0.998041470861163,3.33283844219281,6.29548396885927,11.3750071019704,..,..,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.413,2.396,2.382,2.37,2.358,2.347,2.335,2.322,..,..
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9869.91241203123,10169.1626510412,9460.01796269121,10332.0323662966,10853.2595338679,10626.8391493367,10758.2824183138,10375.2960776626,10514.5878947271,..
Argentina,ARG,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,17600.8747137284,18126.299912598,16759.1777090018,18190.5026454972,19228.3818812952,18910.4906004129,19188.9156388741,18529.5194690543,18805.0674333288,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.0090487804878,75.1662682926829,75.3245609756098,75.4849756097561,75.6490487804878,75.816243902439,75.9860975609756,76.1586097560976,..,..
Argentina,ARG,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,0.788973299777707,0.75943888416492,0.882496324847519,0.810499364543456,0.759933854079133,0.780600598500981,0.834513591756015,0.872450095456478,0.862948056192502,..
Australia,AUS,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,37471.7837946135,38186.9726213392,40088.8543514777,39340.1999039919,41163.3572751094,42884.7785345482,42296.3838424003,42215.41607044,..,..
Australia,AUS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.500869691919606,0.487834213001899,0.491402113988398,0.483115765222756,0.480488543569741,0.466864267106173,0.46359080363282,0.457038501648198,..,..
Australia,AUS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,20.2724640922419,18.28626416773,24.0018934268021,29.2400244951553,30.5135780024755,40.4096305062822,38.3391837878014,42.5642473558891,..,..
Australia,AUS,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-134.100166231418,-126.273480041923,-132.236460070314,-149.684845009795,-137.839180475775,-149.940561980626,-166.299937230793,-184.95658476601,..,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.959,1.984,1.971,1.928,1.927,1.921,1.859,1.859,..,..
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,50910.3422974107,51749.8951426891,51616.6945121443,51845.6548605562,52346.9024868509,53321.8793380913,53703.5747322167,54232.6583595579,54708.1838577347,..
Australia,AUS,"GNI per capita, PPP (constant 2011 international $)",NY.GNP.PCAP.PP.KD,38898.8079475473,39676.5316751464,39791.8085361255,39819.524598799,40085.507820489,41255.1909602303,41805.8030647796,42160.2434023585,42820.0602933572,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.2512195121951,..,..
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.89032280628126,1.8858329916354,1.93176734402948,1.95180895699173,1.82898932114244,1.69813674427214,1.6869120162059,1.80511782947889,1.95065215378813,..
Brazil,BRA,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,7983.80581188993,8272.97130387901,8304.05660828125,9396.00499862069,9719.26630411197,9573.99768291576,9626.28196408167,9813.01561722193,..,..
Brazil,BRA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,90.0093688964844,90.03662109375,90.298210144043,90.3791809082031,91.4112396240234,91.3378524780273,91.4842376708984,..,92.5868072509766,..
Brazil,BRA,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.734022543512113,0.720196009185146,0.700515799283196,0.687744391663202,0.677424578123561,0.66710223851379,0.658285183519922,0.664130280748399,..,..
Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,62.4516820616242,60.6559322246457,63.8078150877277,61.3187646811224,59.3786174503498,59.9596768422512,57.3916406311277,59.3992277946917,..,..
Brazil,BRA,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,8.08408237997434,8.20766994243933,4.09860841514514,7.24344547630414,7.7126342970193,10.5848888643038,13.8791321112616,..,..,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.944,1.898,1.863,1.838,1.823,1.812,1.801,1.79,..,..
