"Foreign direct investment, net inflows (% of GDP)"
"128"," Guatemala","0.6","0.5","1.2","2.0","2.0","2.4","2.5","2.5"
"182"," Guinea","0.7","0.0","0.3","3.6","2.1","18.9","10.7","2.2"
"178"," Guinea-Bissau","0.8","0.0","0.2","1.5","3.1","3.3","1.3","1.5"
"124"," Guyana","2.0","12.0","9.4","9.3","8.8","9.6","9.7","6.7"
"163"," Haiti","","0.3","0.4","0.6","2.7","1.6","2.0","2.2"
"131"," Honduras","1.4","1.3","5.4","6.2","3.1","5.9","5.8","5.8"
"12"," Hong Kong, China (SAR)","","","36.1","22.6","36.2","38.7","28.5","28.0"
"44"," Hungary","","10.4","5.9","7.6","-16.2","7.5","8.3","-3.2"
"16"," Iceland","0.3","-0.1","1.7","15.7","-0.7","0.9","1.7","3.1"
"130"," India","0.1","0.6","0.8","0.9","1.6","2.0","1.3","1.5"
"110"," Indonesia","1.0","2.1","-2.8","2.9","2.2","2.4","2.4","2.7"
"69"," Iran (Islamic Republic of)","-0.3","0.0","0.0","1.5","0.9","0.8","0.9","0.8"
"121"," Iraq","0.0","","","1.0","1.0","1.1","1.6","1.2"
"6"," Ireland","1.3","2.1","25.7","22.4","17.3","10.0","18.5","21.5"
"18"," Israel","0.3","1.4","6.1","3.4","2.4","3.5","3.1","4.1"
"27"," Italy","0.5","0.4","1.2","1.1","-0.2","1.2","0.3","0.6"
"99"," Jamaica","3.0","2.5","5.2","5.8","1.4","1.2","2.8","4.6"
"20"," Japan","0.1","0.0","0.2","0.1","0.1","-0.0","0.0","0.1"
"80"," Jordan","0.9","0.2","10.8","15.8","6.2","5.1","4.8","5.3"
"56"," Kazakhstan","","4.7","7.0","4.5","5.0","7.3","6.8","4.2"
"145"," Kenya","0.7","0.5","0.9","0.1","0.4","0.8","0.5","0.9"
"137"," Kiribati","1.1","0.7","1.1","2.5","-4.4","0.8","0.5","5.3"
"17"," Korea (Republic of)","0.3","0.3","1.7","1.5","0.9","0.8","0.8","0.9"
"48"," Kuwait","0.0","0.0","0.0","0.3","1.1","2.1","1.7","1.0"
"120"," Kyrgyzstan","","5.8","-0.2","1.7","9.1","11.2","4.4","10.5"
"141"," Lao People's Democratic Republic","0.7","5.4","2.0","1.0","3.9","3.6","3.1","3.8"
"46"," Latvia","","3.4","5.3","5.1","1.8","5.3","3.8","2.8"
"67"," Lebanon","","","","12.3","11.3","8.7","8.2","6.8"
"161"," Lesotho","3.1","32.1","4.2","5.1","8.2","8.1","3.2","1.9"
"177"," Liberia","58.6","3.4","3.9","15.3","35.0","85.4","37.3","35.9"
"94"," Libya","0.6","-0.3","0.4","2.4","2.4","","1.7","0.9"
"37"," Lithuania","","0.9","3.3","4.6","2.4","3.4","1.4","1.6"
"19"," Luxembourg","","","","17.7","430.6","30.7","16.9","50.0"
"154"," Madagascar","0.7","0.3","2.1","1.7","9.3","8.2","8.2","7.9"
"173"," Malawi","1.2","0.4","1.5","5.1","1.8","2.3","3.1","3.2"
"62"," Malaysia","5.3","4.7","4.0","2.7","4.4","5.2","3.2","3.7"
"104"," Maldives","2.6","1.8","3.6","5.3","10.1","19.6","10.8","15.7"
"179"," Mali","0.2","4.5","3.4","3.0","5.3","5.2","3.8","3.7"
"37"," Malta","1.8","3.6","15.2","11.6","12.7","7.2","6.8","-19.4"
".."," Marshall Islands","0.0","0.0","0.0","2.4","23.2","2.8","1.9","11.9"
"156"," Mauritania","0.7","0.5","3.7","43.8","3.7","14.2","35.0","27.1"
"63"," Mauritius","1.5","0.5","5.8","0.7","4.4","3.9","5.1","2.2"
"74"," Mexico","1.0","2.8","2.6","2.9","2.5","2.0","1.5","3.3"
"123"," Micronesia (Federated States of)","","","","0.0","0.4","-0.1","0.1","0.6"
"107"," Moldova (Republic of)","","1.5","9.9","6.4","3.6","4.3","2.8","3.1"
"90"," Mongolia","","0.7","4.7","7.3","27.3","53.8","43.1","18.7"
"49"," Montenegro","","","","","18.4","12.4","15.3","10.1"
"126"," Morocco","0.6","0.2","0.6","2.8","1.4","2.5","3.0","3.2"
"180"," Mozambique","0.4","2.0","3.2","1.9","12.4","27.5","37.7","42.8"
